date,symbol,action,quantity,price,status
2021-09-27T14:44:37.921236Z,SDIV,sell,0.377576,13.24,filled
2021-09-17T15:52:40.646702Z,BABA,buy,0.063087,159.145,filled
2021-09-17T15:52:08.198571Z,SDIV,buy,22.0,13.18,filled
2021-09-10T15:29:42.584217Z,BABA,buy,0.037581,169.5,filled
2021-09-10T15:27:03.462524Z,SDIV,buy,4.0,13.468,filled
2021-06-08T19:35:57.441547Z,SQ,sell,47.842672,214.8573,filled
2021-06-02T18:37:10.537154Z,SQ,sell,10.0,219.67,filled
2021-06-01T14:40:22.567495Z,PYPL,sell,6.748421,257.47,filled
2021-06-01T14:40:08.321824Z,MSFT,sell,6.816545,248.901,filled
2021-06-01T14:39:51.911008Z,AAPL,sell,15.609363,124.7306,filled
2021-05-10T14:24:17.296064Z,SQ,buy,6.814772,222.4583,filled
2021-05-10T14:22:17.364025Z,AMZN,sell,0.530266,3238.165,filled
2021-07-01T23:29:44.595914Z,SQ,buy,4.380895,224.3,filled
2021-11-18T21:12:41.685341Z,PG,sell,7.317847,134.325,filled
2021-05-06T14:05:16.344997Z,SQ,buy,5.326899,224.4139,filled
2021-05-06T14:04:04.873755Z,HON,sell,5.294146,226.1,filled
2021-05-04T14:11:24.017299Z,SQ,buy,8.879972,234.06,filled
2021-05-04T14:11:06.649424Z,HD,sell,5.963937,331.774,filled
2021-04-28T14:06:23.915798Z,PG,buy,0.760234,131.17,filled
2021-04-23T15:29:05.870483Z,SQ,buy,12.750905,243.11,filled
2021-04-23T15:28:43.276712Z,SPY,sell,2.812907,416.2018,filled
2021-04-23T15:28:26.584107Z,QQQ,sell,5.707602,339.171,filled
2021-04-20T14:57:20.946121Z,SQ,buy,7.217682,247.4,filled
2021-04-20T14:56:55.133417Z,WMT,sell,12.714821,140.441,filled
2021-04-19T19:18:33.312943Z,SQ,buy,3.242663,245.765,filled
2021-04-19T17:41:23.914667Z,SQ,buy,1.016531,245.885,filled
2021-04-19T17:41:00.251010Z,IIPR,sell,4.993459,180.8397,filled
2021-04-14T15:36:40.963954Z,SQ,buy,1.401077,262.655,filled
2021-04-14T14:53:38.717965Z,SPY,buy,1.812907,413.7,filled
2021-04-14T14:52:32.079129Z,HON,buy,3.294146,230.09,filled
2021-04-14T14:52:17.419225Z,PYPL,buy,2.748421,272.8839,filled
2021-04-14T14:52:03.471677Z,QQQ,buy,2.207602,339.735,filled
2021-04-14T14:51:50.147659Z,WMT,buy,5.414821,138.505,filled
2021-04-14T14:51:32.127335Z,PG,buy,5.557613,134.95,filled
2021-04-14T14:51:18.194320Z,MSFT,buy,2.907878,257.92,filled
2021-04-14T14:51:05.534722Z,AAPL,buy,5.609363,133.705,filled
2021-04-14T14:50:52.997670Z,AMZN,buy,0.222552,3369.995,filled
2021-04-14T14:50:42.163558Z,HD,buy,2.337807,320.805,filled
2021-04-14T14:50:31.704987Z,IIPR,buy,3.947576,189.99,filled
2021-04-14T14:50:10.662808Z,SQ,buy,2.811276,266.7827,filled
2021-04-14T14:43:28.829073Z,PYPL,buy,3.0,272.0122,filled
2021-04-14T14:43:00.581732Z,WMT,buy,6.3,138.64,filled
2021-04-14T14:42:27.096810Z,AAPL,buy,10.0,133.565,filled
2021-04-14T14:42:02.960221Z,QQQ,buy,2.5,339.6472,filled
2021-04-14T14:41:25.882426Z,HD,buy,3.0,320.0341,filled
2021-04-14T14:40:47.309475Z,SQ,buy,4.0,264.8658,filled
2021-04-14T14:40:25.858264Z,MSFT,buy,2.908667,257.85,filled
2021-04-09T14:23:38.895141Z,FDX,sell,3.576855,283.03,filled
2021-04-09T14:10:36.648639Z,GOOG,sell,0.477054,2270.4617,filled
2021-04-09T14:10:22.551494Z,AAPL,sell,7.868449,130.855,filled
2021-04-09T14:09:22.889118Z,TMUS,sell,7.402364,128.86,filled
2021-04-09T14:07:25.428637Z,SQ,sell,44.461794,264.065,filled
2021-04-09T14:03:24.714149Z,SQ,buy,44.461794,264.1,filled
2021-04-09T14:03:06.655685Z,CLX,sell,49.629246,191.97,filled
2021-04-08T18:31:26.794825Z,AAL,sell,41.391017,23.455,filled
2021-04-08T16:02:02.026340Z,CLX,buy,48.629246,192.23,filled
2021-04-08T14:31:25.248090Z,HD,sell,30.0,312.18,filled
2021-04-08T13:53:26.262075Z,HD,buy,29.62613,311.605,filled
2021-04-08T13:52:23.577530Z,AAL,buy,197.0,23.22,cancelled
2021-04-08T13:46:55.782681Z,SQ,sell,1.0,252.24,filled
2021-04-08T13:42:57.621520Z,HON,buy,1.0,217.315,filled
2021-04-07T19:06:30.337270Z,SQ,buy,1.0,248.6856,filled
2021-04-07T19:06:09.535840Z,PYPL,buy,1.0,256.4189,filled
2021-04-07T19:01:41.902653Z,QQQ,buy,1.0,332.1,filled
2021-04-07T19:01:08.167382Z,SPY,buy,1.0,406.629,filled
2021-04-07T19:00:00.212585Z,HON,buy,1.0,218.28,filled
2021-04-07T18:59:19.575154Z,CLX,buy,1.0,193.866,filled
2021-04-07T18:27:47.635052Z,MSFT,buy,1.0,250.325,filled
2021-04-07T18:26:00.117915Z,META,sell,0.926438,312.4379,filled
2021-04-07T18:13:42.263987Z,PG,buy,1.0,136.69,filled
2021-04-07T18:12:13.528462Z,WMT,buy,1.0,139.7389,filled
2021-04-07T17:11:53.515550Z,HD,buy,1.0,311.0743,filled
2021-04-07T17:10:50.920255Z,IIPR,buy,1.045883,190.93,filled
2021-04-07T15:08:52.319086Z,AAL,buy,41.391017,24.155,filled
2021-04-07T14:36:07.023878Z,FDX,buy,3.576855,279.5752,filled
2021-04-07T14:14:39.953550Z,TMUS,buy,5.370981,130.33,filled
2021-04-07T14:14:01.331407Z,AAPL,buy,3.156362,126.725,filled
2021-04-07T14:04:58.739820Z,SQ,sell,64.96619,245.5201,filled
2021-04-06T19:50:35.228345Z,SQ,buy,64.208417,236.4,filled
2021-04-06T19:19:28.279418Z,SQ,sell,63.0,238.0,filled
2021-04-06T18:44:50.548453Z,SQ,sell,63.0,238.0,cancelled
2021-03-31T13:35:13.924685Z,SQ,sell,63.0,245.0,cancelled
2021-03-18T16:33:18.140177Z,SQ,buy,60.676333,236.2,filled
2021-02-23T19:31:15.147454Z,SQ,sell,0.598467,250.64,filled
2021-02-23T19:30:27.328412Z,IDEX,sell,21.511983,3.175,filled
2021-02-23T19:29:55.243590Z,VIOG,sell,8.704735,219.885,filled
2021-02-23T19:29:42.975597Z,VOOG,sell,8.284702,231.98,filled
2021-02-23T19:28:55.556081Z,AAL,sell,14.526438,20.8724,filled
2021-02-12T18:46:28.533394Z,VIOG,buy,8.704735,229.76,filled
2021-02-12T18:45:56.599048Z,VOOG,buy,8.284702,241.375,filled
2021-02-12T18:34:17.405250Z,META,buy,0.555807,269.8775,filled
2021-02-12T18:33:16.236151Z,META,buy,0.370631,269.81,filled
2021-02-12T18:32:52.731736Z,IDEX,buy,21.511983,4.645,filled
2021-02-12T18:32:35.601445Z,AAL,buy,14.526438,17.21,filled
2021-02-12T18:31:52.545014Z,TMUS,buy,2.031383,123.055,filled
2021-11-18T21:09:15.201136Z,AAPL,buy,4.712087,134.195,filled
2021-02-12T18:30:23.592802Z,SQ,buy,3.679907,271.735,filled
2021-02-12T18:25:47.436179Z,AMZN,buy,0.307714,3249.77,filled
2021-02-12T18:25:20.788995Z,GOOG,buy,0.477054,2096.195,filled
2021-02-11T18:25:44.557066Z,INTC,sell,1.0,60.335,filled
2021-02-11T18:25:33.286440Z,GAIN,sell,1.393142,11.965,filled
2021-02-11T18:25:21.884197Z,IIPR,sell,0.454892,207.7073,filled
2021-02-11T18:25:08.513176Z,IBM,sell,1.259464,121.02,filled
2021-02-11T18:24:54.544163Z,GOOG,sell,0.046004,2090.39,filled
2021-02-11T18:24:39.161973Z,ORC,sell,1.035991,5.575,filled
2021-02-11T18:24:22.472619Z,BAC,sell,0.883286,32.825,filled
2021-02-11T16:22:06.630076Z,AMD,sell,2.760319,92.33,filled
2021-02-11T16:21:50.860692Z,AAPL,sell,3.035448,135.035,filled
2021-02-11T16:21:12.988316Z,AMZN,sell,0.314252,3278.095,filled
2021-02-11T16:20:50.914821Z,HAS,sell,11.339904,90.605,filled
2021-02-08T19:43:29.606974Z,AMZN,buy,0.30216,3308.135,filled
2021-02-08T18:55:57.429519Z,UBER,sell,1.0,59.0618,filled
2021-02-08T18:55:29.761355Z,RLJ,sell,6.0,14.1314,filled
2021-02-08T18:54:00.045853Z,F,sell,2.0,11.4028,filled
2021-02-08T18:52:21.112810Z,PFE,sell,4.506877,34.7621,filled
2021-02-08T18:49:39.758293Z,KBH,sell,1.0,44.8222,filled
2021-02-08T18:48:42.299653Z,HAS,buy,10.657572,93.83,filled
2021-02-08T18:45:23.602514Z,DASH,sell,0.412544,174.51,filled
2021-02-08T18:44:53.472456Z,AAL,sell,29.103931,17.795,filled
2021-02-05T20:36:32.019129Z,AAL,buy,29.103931,17.175,filled
2021-02-05T20:09:47.927104Z,SQ,sell,12.549775,238.85,filled
2021-02-05T19:45:39.156056Z,SQ,buy,4.654255,239.845,filled
2021-02-04T19:39:23.101074Z,F,buy,1.0,11.4372,filled
2021-02-04T19:38:00.795682Z,INTC,sell,19.0,58.3423,filled
2021-02-02T15:25:22.428881Z,PFE,buy,3.0,34.5279,filled
2021-02-01T16:32:58.789570Z,GAIN,buy,0.009709,10.3,filled
2021-01-28T23:54:02.441437Z,ORC,buy,0.345083,5.39,filled
2021-01-26T14:47:16.204758Z,AAPL,buy,1.0,142.45,filled
2021-01-25T21:14:21.297807Z,SQ,buy,4.0,216.22,filled
2021-01-22T20:27:17.009045Z,IBM,buy,1.259464,118.725,filled
2021-01-22T20:24:21.703543Z,INTC,buy,20.0,56.945,filled
2021-01-25T14:49:42.688600Z,BAC,sell,35.0,31.005,filled
2021-01-21T19:42:21.584989Z,F,sell,8.0,11.5228,filled
2021-01-21T20:01:25.328594Z,AMD,sell,11.0,91.78,filled
2021-01-21T19:37:35.604598Z,SQ,buy,3.0,220.39,filled
